16:36:36. INFO  manager.ApplicationManager - Test on CHROME
16:36:42. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: button[data-testid='header-member-menu-button']
16:36:47. INFO  manager.MyListener - The element with locator --->By.cssSelector: button[data-testid='header-member-menu-button']was found
16:36:49. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: a[href='/login']
16:36:49. INFO  manager.MyListener - The element with locator --->By.cssSelector: a[href='/login']was found
16:36:55. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: button.username-change
16:36:55. INFO  manager.MyListener - The element with locator --->By.cssSelector: button.username-changewas found
16:36:55. INFO  manager.MyListener - Start search element by locator --->By.name: user
16:36:55. INFO  manager.MyListener - The element with locator --->By.name: userwas found
16:36:56. INFO  manager.MyListener - Start search element by locator --->By.id: login
16:36:56. INFO  manager.MyListener - The element with locator --->By.id: loginwas found
16:36:58. INFO  manager.MyListener - Start search element by locator --->By.id: password
16:37:10. INFO  manager.MyListener - The element with locator --->By.id: passwordwas found
16:37:10. INFO  manager.MyListener - Start search element by locator --->By.id: login-submit
16:37:10. INFO  manager.MyListener - The element with locator --->By.id: login-submitwas found
16:37:10. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: button[data-testid='header-member-menu-button']
16:37:45. INFO  manager.MyListener - The element with locator --->By.cssSelector: button[data-testid='header-member-menu-button']was found
16:37:45. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: li[data-testid='create-board-tile']
16:37:45. INFO  manager.MyListener - The element with locator --->By.cssSelector: li[data-testid='create-board-tile']was found
16:37:45. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [data-testid='create-board-title-input']
16:37:47. INFO  manager.MyListener - The element with locator --->By.cssSelector: [data-testid='create-board-title-input']was found
16:37:47. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[@title='Green']
16:37:47. INFO  manager.MyListener - The element with locator --->By.xpath: //button[@title='Green']was found
16:37:47. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Create']
16:37:47. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Create']was found
